OBJECTID,GIS_ID,Address,GravelParking,PavedParking,TotalBaseballDiamonds,RegulationDiamond,RegulationDiamondLighted,RegulationDiamondIrrigated,PeeweeDiamond,PeeweeDiamondLighted,PeeweeDiamondIrrigated,OtherDiamonds,FullSizeSoccer,FullSizeSoccerLighted,FullSizeSoccerIrrigated,TournamentSizeSoccer,TournamentSizeSoccerLighted,TournamentSizeSoccerIrrigated,MiniSoccer,FullSizeFootball,FullSizeFootballLighted,FullSizeFootballIrrigated,ArenaName,NumberOfIcePads,TennisCourts,TennisCourtsLighted,MultiUsePads,PoolName,PoolType,NumberOfPools,WadingPools,SprayPads,PlayStructure,PlayYear,WalkingTrail,PavedPathway,TotalPathway,FullSizeBasketball,HalfSizeBasketball,SkateboardPark,Swings,SwingSets,OffLeashPark,CommunityCentre,RecreationCentre,FieldHouse,ParkCategory,OtherFacilities,RunningTrack,GolfCourse,ConcessionStand,PicnicShelter,DrinkingFountain,Benches,PicnicTable,Washroom,OutdoorRink,ParkSign,GarbageCan,Light,CampusCommunity,BoatRamp,AdultExerciseStation,SwmPond,NaturalizationProgram,CommunityGarden,YearParkAdded,Pnumber,GIS_FeatureKey,VolleyballCourts,CricketPitch,PickleballCourt,ShapeSTArea,ShapeSTLength
3360,392,6760 Raleigh Blvd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,1,2011,0,176.6,176.6,0,0,0,0,0,N,N,N,N,U, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2011,P-391,Raleigh Parkette,0,0,0,3584.048828,232.8413107
3361,393,1115 Whetherfield St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0, , ,0,0,0,1,2012,0,297,297,0,0,0,2,1,N,N,N,N,, ,N,N,N,N,N,2,N,N,N,Y,Y,N,N,N,N,Y,N,N,2011,P-392,Whetherfield Park,0,0,0,29556.28711,837.0125656
3362,394,2384 Buroak Dr,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,2,0, , ,0,0,0,2,2013,0,693.7,693.7,1,0,0,4,1,N,N,N,N,D,Entrance Plaza,N,N,N,N,N,17,N,N,N,Y,Y,Y,N,N,N,N,N,N,2011,P-393,Foxfield District Park,0,0,2,45671.65405,893.168779
3363,395,2190 Kains Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,0,0,0,0,0,0,0,N,N,N,N,O, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2011,P-394,Kains Woods Swmf,0,0,0,23198.21753,656.1577033
3364,396,3150 Wonderland Rd S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,0,0,0,0,0,0,0,N,N,N,N,O, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2011,P-395,Pincombe Drain Swmf #1,0,0,0,31145.49585,792.9844803
3365,397,1480 Privet Pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,1,2012,0,0,0,0,0,0,2,1,N,N,N,N,N, ,N,N,N,N,N,2,N,N,N,N,Y,N,N,N,N,N,N,N,2011,P-396,Creekside Park,0,0,0,1536.994629,273.103203
3366,398,1695 Hyde Park Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,229,229,0,0,0,0,0,N,N,N,N,SW,Bridge,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2011,P-397,Hyde Park North Swmf,0,0,0,45550.57324,1222.387613
3367,400,1972 Valleyrun Blvd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,0,0,0,0,0,0,0,N,N,N,N,O, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2012,P-398,Valley Run Park,0,0,0,7039.323486,599.72503
3368,401,1260 Coronation Dr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,1,2012,0,471.6339,471.6339,0,0,0,2,1,N,N,N,N,N, ,N,N,N,N,N,3,N,N,N,1,1,N,N,N,N,N,N,N,2012,P-399,Maple Grove Park,0,0,0,22987.86475,758.8006401
3370,405,3470 Settlement Trail,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,1,2012,0,333.5,333.5,0,0,0,1,1,N,N,N,N,N, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2012,P-401,Talbot Park,0,0,0,31596.16675,835.7452662
